meioX,meioY
5348,572
4012,412
2162,398
4028,1611
2336,283
3149,156
1904,1373
1547,1482
5316,1475
4932,89
4602,1809
845,987
4754,260
1373,740
3061,250
1147,395
4287,326
4053,2909
5176,1924
5068,1833
1436,2178
4403,2786
2512,1075
3853,691
1821,593
3626,296
3755,710
3762,1774
1555,715
4400,1596
2203,797
3254,228
4001,314
3338,205
1947,87
5422,179
4978,731
4061,2979
4208,2604
1972,3006
2938,784
1165,553
3125,1861
3318,851
870,1203
5046,332
4017,1463
2481,781
840,186
741,140
4925,1115
2217,78
3906,2348
1811,513
1659,2539
5435,2875
3082,389
1722,1383
1182,2372
3902,146
53,3324
1437,538
2595,1016
1762,151
2366,581
3427,2054
808,708
4084,1221
1848,14
2347,414
1036,262
1752,20
1446,1474
5033,117
4978,1823
2312,1012
1930,1715
3261,1331
931,1777
1259,2247
2989,382
3171,323
3026,812
1482,90
798,571
4972,612
3602,1030
3082,508
1413,1123
2127,932
2941,834
2866,998
3985,102
2090,1479
4221,2762
3828,445
3346,280
2917,538
2961,1029
3666,666
1013,866
4781,1730
3549,457
3358,433
4571,2532
1598,1131
3202,2542
830,889
1132,2781
2745,700
2819,490
3834,1507
5236,315
4328,762
2382,1581
2659,789
820,30
4666,2549
5215,2427
2134,1955
3389,765
3278,1499
1001,798
3488,826
5259,2966
4572,1526
1408,1090
1724,1461
3371,580
3658,1652
2620,1294
1652,802
4347,939
3390,2612
4491,1655
4843,1397
4234,2899
2883,215
3210,775
2491,850
905,1566
2300,859
1394,976
1195,3350
4946,286
4892,3000
5437,1869
1997,597
3869,972
5241,2726
2431,2013
2806,387
1478,891
2728,2350
4101,2386
1120,124
2133,1905
2611,270
4666,1525
2922,598
2434,315
2396,1699
1917,1539
4186,2371
1664,931
4852,2529
5411,106
5216,132
1739,707
3516,2954
5301,1281
3786,2968
1893,3181
3440,283
4841,147
2306,909
2579,830
822,794
5257,2906
1383,13
5013,2209
1207,1804
4636,1129
4475,2500
4739,27
5025,1326
1123,1860
1129,1102
4932,2397
4971,2876
3678,777
5219,1446
3435,201
1642,2453
1475,39
1659,1735
4281,1405
4138,812
2038,1905
1596,1997
4293,364
5246,363
2122,12
4395,2616
3965,861
4131,2835
1849,941
2621,2181
1588,1914
2717,438
2885,250
1503,1156
3721,1296
4940,2548
4726,2222
4749,172
3989,1188
1503,1114
4497,533
4513,757
3570,1721
4972,1789
4129,721
4683,2725
3477,1652
2526,308
5210,21
3421,1034
3621,203
5100,1069
1771,1858
3178,1439
1321,1194
4247,3053
1234,1183
4149,2978
1747,2588
2426,267
4796,1930
4126,668
4590,532
5346,1879
1730,1519
2989,1317
965,473
1195,42
4859,1601
882,519
1016,49
1183,694
5073,662
3626,1312
964,1244
1352,1468
2985,3094
2270,1434
93,3195
5028,1362
5314,2481
3483,772
1174,606
3496,869
2820,532
2523,2129
3289,610
1843,1664
2568,786
913,48
3996,193
3720,309
4386,375
2045,2804
4088,2276
1692,2897
5304,44
3227,18
1600,341
3068,3068
3525,3060
3665,1705
2495,20
4099,352
3352,342
1193,808
1258,2284
920,858
1347,506
5143,2701
3669,1804
3326,1067
727,26
4747,107
5035,2461
1468,2540
4610,1955
4230,749
3783,969
2130,44
3714,230
1650,740
4013,345
2035,923
1811,3171
1289,2536
2619,369
1964,1139
894,739
2876,1115
4844,1446
3909,259
4311,2674
4380,316
3560,589
1997,1464
4265,120
2801,1277
3079,325
1103,1667
1220,2702
3033,860
1403,2749
4665,210
4875,1773
2765,917
1639,1500
1635,579
4614,848
1934,860
4068,2010
1787,1143
4472,245
1028,965
1066,546
1307,156
1621,2226
942,1037
2588,908
4810,2165
3649,1526
3575,709
1604,2906
1587,1041
4131,1783
3040,918
2262,443
4779,473
5412,2648
2518,243
4133,2776
2953,914
1741,1579
1197,893
2970,1082
4613,793
2895,316
4877,617
2546,497
915,820
4701,708
5154,479
5061,485
5442,579
4021,502
4036,664
2211,1757
1155,1323
3852,2730
4239,1957
2230,1074
4370,2383
3100,601
2692,1090
4936,175
1177,638
1385,1742
2131,76
2275,1503
4325,1948
2670,851
4504,2787
3664,1684
3461,1500
1390,933
4271,2325
1772,1025
4556,2371
4105,1451
1728,1498
2373,2459
5118,49
4564,1404
2968,167
794,538
2274,2348
1832,1612
3645,481
3338,3033
1084,693
2261,498
1223,1077
2024,885
998,1582
957,2026
3858,789
2910,485
5110,1165
3008,1516
3564,1651
1155,2182
2101,1641
3295,686
4902,2141
3728,1402
5342,1772
1291,1673
1280,1604
3766,805
3743,498
2709,3059
3657,625
1187,1585
2495,905
4956,1564
4835,2370
1674,2683
4002,1310
4180,197
5265,708
4363,2317
4860,2597
1927,788
5159,652
802,648
1619,456
4015,2517
3058,2944
1778,1110
5245,482
2630,525
3618,1159
1548,3293
4390,435
851,311
4028,579
4286,2531
1875,1935
1533,531
3412,1885
828,124
3220,857
1563,1710
