meioX,meioY
4865,81
3910,390
3118,98
5202,691
5029,109
5209,427
3906,432
3828,282
57,731
5381,483
4942,218
3034,280
4598,660
763,768
5201,107
3386,243
2330,154
5293,306
4687,810
2327,685
659,593
2587,91
1458,582
3033,87
491,90
3296,715
2945,792
1804,76
573,810
4769,730
5031,335
2067,264
4514,386
2242,396
4254,127
400,579
2864,73
1025,167
52,795
3029,529
3821,448
2414,879
2499,96
934,821
3566,536
3827,255
2333,290
658,466
3210,322
2506,178
2497,786
1546,189
1632,726
4425,162
3385,175
1890,308
486,221
1020,76
4689,254
1193,390
225,862
61,123
2501,887
2419,118
5115,718
2760,884
3202,872
657,365
5470,238
1019,792
3201,792
4515,486
3818,634
4943,177
658,894
1024,537
4420,600
1631,859
2065,346
5546,737
2676,436
3561,563
2591,759
2162,376
5293,586
3646,827
2682,864
1896,240
5197,253
491,866
1545,147
1023,272
1986,373
5468,632
2862,258
2329,752
1459,332
1189,241
2943,193
661,420
1982,125
316,597
4859,547
2065,773
3908,839
5471,206
2415,99
233,238
3387,349
3029,196
2330,367
1634,503
846,897
3566,261
229,525
3732,885
1280,832
844,676
5034,816
5547,204
1102,879
5030,150
1283,158
5030,635
3907,626
5117,770
2763,281
4425,98
2246,465
143,762
3736,167
3035,162
5205,573
662,241
230,688
2413,598
1020,213
663,313
1804,768
5028,747
935,483
2156,471
2765,64
144,205
4425,456
4161,441
4599,156
2499,760
4509,760
5290,219
1462,908
3030,556
5119,675
322,82
3207,80
4339,312
5551,227
3818,757
4169,87
4778,274
1107,780
762,688
1458,410
3902,297
489,680
1721,186
2762,477
3385,756
853,433
1981,893
3203,837
489,761
1980,666
577,270
1981,189
2331,200
4425,691
1359,911
2244,371
5115,555
5555,292
5380,427
317,667
1462,137
3291,861
1804,533
657,52
3997,401
5029,469
5204,865
2330,128
1285,399
5208,492
4601,860
3121,239
2858,526
2500,707
3730,490
3821,106
1715,690
2947,823
2420,515
404,809
1467,485
4691,297
4339,755
2334,838
4777,309
4511,860
4688,855
235,66
1194,58
3472,262
4857,734
3819,806
2766,781
5379,655
2160,445
1023,364
2331,455
931,109
1894,594
2164,675
4779,384
488,834
1022,726
1459,708
3382,882
844,708
4339,612
400,442
1367,365
4688,528
4946,380
4947,268
4859,258
1543,803
1459,664
2069,864
3649,115
4518,281
1632,573
1283,494
486,630
5031,418
2499,863
5026,281
1546,554
2338,783
4861,430
660,674
3114,728
4602,120
4422,923
1722,649
764,563
1541,874
2330,420
4603,441
1543,504
2588,303
1802,635
60,657
2154,142
1022,756
5025,871
2680,516
3466,673
5030,216
5382,194
2592,793
2769,507
4864,462
2761,578
4946,500
2154,173
3210,108
4160,196
4252,662
4511,555
3203,681
319,424
3645,720
2156,306
759,402
4855,705
2418,493
4524,937
2157,807
3734,222
317,391
486,547
2680,604
1102,268
3830,414
3564,225
1365,790
2944,457
2066,628
2765,113
4681,647
3204,462
5117,408
5551,649
1722,304
5470,397
4945,322
1019,697
2419,301
404,677
1464,100
3907,586
1461,827
1024,388
2329,586
4332,553
5376,683
765,632
3647,364
3123,629
1894,278
4162,916
932,754
3986,189
4248,472
1194,582
2768,686
4333,775
4341,844
2588,322
5296,138
489,440
5550,852
2761,223
4946,724
3211,254
231,807
2677,159
2331,613
3121,495
4772,577
2679,290
2674,480
2594,194
4777,252
3995,827
2245,888
1461,856
4940,813
3998,328
1541,588
934,305
